codEstacao;municipio;uf;nomeEstacao;latitude;longitude;data;hora;precipitação
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;03/04/2015;08:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;03/04/2015;09:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;03/04/2015;10:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;03/04/2015;11:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;03/04/2015;12:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;03/04/2015;13:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;03/04/2015;14:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;03/04/2015;15:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;03/04/2015;16:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;03/04/2015;17:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;03/04/2015;18:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;03/04/2015;19:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;03/04/2015;20:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;03/04/2015;21:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;03/04/2015;22:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;03/04/2015;23:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;04/04/2015;00:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;04/04/2015;01:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;04/04/2015;02:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;04/04/2015;03:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;04/04/2015;04:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;04/04/2015;05:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;04/04/2015;06:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;04/04/2015;07:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;04/04/2015;08:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;04/04/2015;09:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;04/04/2015;10:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;04/04/2015;11:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;04/04/2015;12:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;04/04/2015;13:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;04/04/2015;14:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;04/04/2015;15:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;04/04/2015;16:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;04/04/2015;17:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;04/04/2015;18:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;04/04/2015;19:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;04/04/2015;20:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;04/04/2015;21:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;04/04/2015;22:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;04/04/2015;23:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;05/04/2015;00:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;05/04/2015;01:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;05/04/2015;02:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;05/04/2015;03:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;05/04/2015;04:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;05/04/2015;05:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;05/04/2015;06:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;05/04/2015;07:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;05/04/2015;08:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;05/04/2015;09:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;05/04/2015;10:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;05/04/2015;11:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;05/04/2015;12:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;05/04/2015;13:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;05/04/2015;14:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;05/04/2015;15:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;05/04/2015;16:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;05/04/2015;17:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;05/04/2015;18:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;05/04/2015;19:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;05/04/2015;20:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;05/04/2015;21:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;05/04/2015;22:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;05/04/2015;23:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;06/04/2015;00:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;06/04/2015;01:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;06/04/2015;02:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;06/04/2015;03:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;06/04/2015;04:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;06/04/2015;05:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;06/04/2015;06:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;06/04/2015;07:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;06/04/2015;08:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;06/04/2015;09:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;06/04/2015;10:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;06/04/2015;11:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;06/04/2015;12:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;06/04/2015;13:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;06/04/2015;14:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;06/04/2015;15:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;06/04/2015;16:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;06/04/2015;17:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;06/04/2015;18:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;06/04/2015;19:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;06/04/2015;20:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;06/04/2015;21:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;06/04/2015;22:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;06/04/2015;23:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;07/04/2015;00:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;07/04/2015;01:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;07/04/2015;02:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;07/04/2015;03:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;07/04/2015;04:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;07/04/2015;05:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;07/04/2015;06:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;07/04/2015;07:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;07/04/2015;08:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;07/04/2015;09:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;07/04/2015;10:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;07/04/2015;11:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;07/04/2015;12:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;07/04/2015;13:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;07/04/2015;14:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;07/04/2015;15:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;07/04/2015;16:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;07/04/2015;17:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;07/04/2015;18:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;07/04/2015;19:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;07/04/2015;20:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;07/04/2015;21:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;07/04/2015;22:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;07/04/2015;23:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;08/04/2015;00:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;08/04/2015;01:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;08/04/2015;02:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;08/04/2015;03:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;08/04/2015;04:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;08/04/2015;05:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;08/04/2015;06:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;08/04/2015;07:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;08/04/2015;08:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;08/04/2015;09:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;08/04/2015;10:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;08/04/2015;11:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;08/04/2015;12:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;08/04/2015;13:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;08/04/2015;14:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;08/04/2015;15:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;08/04/2015;16:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;08/04/2015;17:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;08/04/2015;18:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;08/04/2015;19:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;08/04/2015;20:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;08/04/2015;21:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;08/04/2015;22:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;08/04/2015;23:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;08/04/2015;23:10:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;08/04/2015;23:20:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;08/04/2015;23:30:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;08/04/2015;23:40:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;08/04/2015;23:50:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;00:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;00:10:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;00:20:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;00:30:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;00:40:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;00:50:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;01:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;01:10:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;01:20:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;01:30:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;01:40:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;01:50:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;02:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;02:10:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;02:20:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;02:30:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;02:40:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;02:50:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;03:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;03:10:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;03:20:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;03:30:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;03:40:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;03:50:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;04:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;04:10:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;04:20:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;04:30:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;04:40:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;04:50:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;05:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;05:10:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;05:20:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;05:30:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;05:40:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;05:50:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;06:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;06:10:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;06:20:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;06:30:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;06:40:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;06:50:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;07:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;07:10:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;07:20:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;07:30:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;07:40:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;07:50:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;08:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;08:10:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;08:20:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;08:30:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;08:40:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;08:50:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;09:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;09:10:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;09:20:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;09:30:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;09:40:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;09:50:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;10:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;10:10:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;10:20:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;10:30:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;10:40:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;10:50:00.0;0,2
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;11:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;11:10:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;11:20:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;11:30:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;11:40:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;12:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;13:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;14:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;15:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;16:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;17:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;18:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;19:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;20:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;21:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;22:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;09/04/2015;23:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;00:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;01:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;02:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;03:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;04:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;04:10:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;04:20:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;04:30:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;04:40:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;04:50:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;05:00:00.0;0,2
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;05:10:00.0;6,3
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;05:20:00.0;0,2
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;05:30:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;06:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;07:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;08:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;08:10:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;08:20:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;08:30:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;08:40:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;08:50:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;09:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;09:10:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;09:20:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;09:30:00.0;0,2
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;09:40:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;10:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;11:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;12:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;13:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;14:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;15:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;16:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;17:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;18:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;19:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;20:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;21:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;22:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;10/04/2015;23:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;11/04/2015;00:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;11/04/2015;01:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;11/04/2015;02:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;11/04/2015;03:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;11/04/2015;04:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;11/04/2015;05:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;11/04/2015;06:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;11/04/2015;07:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;11/04/2015;08:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;11/04/2015;09:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;11/04/2015;10:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;11/04/2015;11:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;11/04/2015;12:00:00.0;0
231050602A;PEDRA BRANCA;CE;Centro;-5.525;-39.589;11/04/2015;13:00:00.0;0
